site,shell_num,growth_period,dist_addition,cumul_dist
N. Cape: Barnstable,Am2,2-3,4.98,9.91
N. Cape: Barnstable,Am2,3-4,2.59,12.5
N. Cape: Barnstable,Am2,4-5,1.49,13.99
N. Cape: Barnstable,Am2,5-6,1.42,15.41
N. Cape: Barnstable,Am2,6-7,1.25,16.66
N. Cape: Barnstable,Am2,7-8,0.88,17.54
N. Cape: Barnstable,Am3,1-2,2.41,2.41
N. Cape: Barnstable,Am3,2-3,2.04,4.45
N. Cape: Barnstable,Am3,3-4,2.13,6.58
N. Cape: Barnstable,Am3,4-5,1.6,8.18
N. Cape: Barnstable,Am3,5-6,1.42,9.6
N. Cape: Barnstable,Am3,6-7,0.84,10.44
N. Cape: Barnstable,Am3,7-8,1.28,11.72
N. Cape: Barnstable,Am3,8-9,0.64,12.36
N. Cape: Barnstable,Am3,9-10,0.72,13.08
N. Cape: Barnstable,Am3,10-11,0.45,13.53
N. Cape: Barnstable,Am3,11-12,0.39,13.92
N. Cape: Dennis,Am4,1-2,10.53,10.53
N. Cape: Dennis,Am4,2-3,1.58,12.11
N. Cape: Dennis,Am4,3-4,1.69,13.8
N. Cape: Dennis,Am4,4-5,1.06,14.86
N. Cape: Dennis,Am4,5-6,0.77,15.63
S. Cape: Eel Pond,Am5,,,
S. Cape: Eel Pond,Am6,,,
S. Cape: Eel Pond,Am7,,,
S. Cape: Eel Pond,Am8,,,
S. Cape: Eel Pond,Am9,,,
S. Cape: Eel Pond,Am10,,,
S. Cape: Eel Pond,Am11,,,
S. Cape: Eel Pond,G1,1-2,3.48,3.48
S. Cape: Eel Pond,G1,2-3,1.34,4.82
S. Cape: Eel Pond,G2,1-2,2.24,2.24
S. Cape: Eel Pond,G3,1-2,2.26,2.26
S. Cape: Eel Pond,G4,1-2,1.92,1.92
S. Cape: Eel Pond,G5,1-2,2.57,2.57
N. Cape: Barnstable,G6,,,
N. Cape: Provincetown,G7,1-2,5.81,5.81
N. Cape: Provincetown,G7,2-3,3.18,8.99
S. Cape: Eel Pond,G8,,,
S. Cape: Eel Pond,G9,,,
S. Cape: Eel Pond,G10,,,
S. Cape: Eel Pond,G11,1-2,1.84,1.84
S. Cape: Eel Pond,G11,2-3,1.36,3.2
S. Cape: Eel Pond,G11,3-4,1.61,4.81
S. Cape: Eel Pond,G11,4-5,1.2,6.01
S. Cape: Eel Pond,G11,5-6,0.63,6.64
S. Cape: Eel Pond,G12,,,
S. Cape: Eel Pond,G13,,,
S. Cape: Eel Pond,G14,1-2,2.01,2.01
S. Cape: Eel Pond,G14,2-3,1.25,3.26
S. Cape: Eel Pond,G14,3-4,0.6,3.86
S. Cape: Eel Pond,G15,1-2,3.24,3.24
S. Cape: Eel Pond,G15,2-3,2.53,5.77
S. Cape: Eel Pond,G15,3-4,0.96,6.73
N. Cape: Barnstable,G16,1-2,7.45,7.45
N. Cape: Barnstable,G16,2-3,3.97,11.42
N. Cape: Barnstable,G16,3-4,2.42,13.84
N. Cape: Barnstable,G16,4-5,1.98,15.82
N. Cape: Barnstable,G16,5-6,1.17,16.99
N. Cape: Barnstable,G16,6-7,1,17.99
N. Cape: Barnstable,G16,7-8,0.76,18.75
N. Cape: Barnstable,G16,8-9,0.97,19.72
N. Cape: Provincetown,G17,1-2,5.63,5.63
N. Cape: Provincetown,G18,1-2,5.85,5.85
N. Cape: Provincetown,G19,1-2,5.78,5.78
N. Cape: Provincetown,G19,2-3,3,8.78
N. Cape: Provincetown,G19,3-4,1.37,10.15
N. Cape: Provincetown,G20,1-2,6.62,6.62
N. Cape: Provincetown,G20,2-3,3.27,9.89
N. Cape: Provincetown,G20,3-4,1.58,11.47
